"Remarks of the President in Presenting to Madam Curie a Gift of Radium from the American People","Warren G. Harding"
"Reminscences of a Stock Operator","Edwin Lefevre"
"Will Somers, the Boy Detective","Charles Morris"
"The Girl Scouts at Singing Sands","Mildred Augustine Wirt"
"Rip Van Winkle","Washington Irving"
"Josie O'Gorman","Emma Speed Sampson and Edith Van Dyne"
"Wehman Bros.' Vaudeville Jokes No. 1","Anonymous"
"Colección de Documentos Inéditos Relativos al Descubrimiento Conquista y Organización de las Antiguas Posesiones Españolas de Ultramar. Tomo 9, De Los Documentos Legislativos, II","Various"
"Ben Bruce","Horatio Alger"
"A Summer in Maryland and Virginia","George Perkins"
"The Sexual Life of our Time in its Relations to Modern Civilization","Iwan Bloch"
"A Change in the Cabinet","Hilaire Belloc"
"A Righted Wrong, Vol. 3 of 3","Edmund Yates"
"A Righted Wrong, Vol. 2 of 3","Edmund Yates"
"A Righted Wrong, Vol. 1 of 3","Edmund Yates"
"The Impersonator","Robert Wicks"
"The Vegetable, or From President to Postman","F. Scott Fitzgerald"
"The Book of Shells","Anonymous"
"In an Unknown Prison Land","George Griffith"
"John Chinaman on the Rand","Anonymous"
"Ingo","Gustav Freytag"
"The Court of Chancery, a satirical poem","Reginald James Blewitt"
"The life of Pasteur","René Vallery-Radot"
"The Polite People of Pudibundia","R. A. Lafferty"
"Die Kammerjungfer","Marie Nathusius"
"Munkki-kammio","Joel Lehtonen"
"Von morgens bis mitternachts","Georg Kaiser"
"The Service","Henry David Thoreau"
"Notes on Veterinary Anatomy","Charles J. Korinek"
"The Last Secrets","John Buchan"
"A Tourist Named Death","Christopher Anvil"
"Mindsnake","Jim Harmon"
"Novelle brianzuole","Cesare CantÃ"
"Ralph 124C 41+","Hugo Gernsback"
"Primitive Manners and Customs","James Anson Farrer"
"Sagen van den Rijn","Wilhelm Ruland"
"Jack Straw in Mexico","Irving Crump"
"McGonigal's Worm","R. A. Lafferty"
"Superjoemulloy","Scott F. Grenville"
"The Empresses of Constantinople","Joseph McCabe"
"The Philosophy of Health, Vol. 2 of 2","Thomas Southwood-Smith"
"The Church Year and Kalendar","John Dowden"
"Don't Think About It","William W. Stuart"
"A Belle of the Fifties","Virginia Clay-Clopton"
"The Empresses of Rome","Joseph McCabe"
"Satujen maailma I","Jalmari Finne"
""Muru"","Karl August Tavaststjerna"
"Komet und Erde","Camille Flammarion"
"Our National Parks","John Muir"
"The Contact Point","Jack Sharkey"
"Comedias escogidas","Leandro Fernández de Moratín"
"Captains of Harley","Hylton Cleaver"
"Paimenpoika alppimajalla","Johanna Spyri"
"Paris tel qu'il est","Jules Noriac"
"The Rainbow Cat","Rose Fyleman and Thelma Cudlipp Grosvenor"
"Murder Beneath the Polar Ice","Hayden Howard"
"Vassi","Art Lewis"
"Opettaja","Kaarlo August Järvi"
"With Axe and Rope in the New Zealand Alps","George Edward Mannering"
"Le Canapé couleur de feu, par M. de ***","Jean-Louis Fougeret de Montbron"
"Dialogue between John and Thomas on the Corn Laws, the Charter Teetotalism, and the Probable Remedy for the Present Disstresses","Unknown"
"Dostoïevsky, Articles et Causeries","André Gide"
"Discourses on Various Subjects, Vol. 1 of 2","Jacob Duché"
"Prometheus Illbound","André Gide"
"A Matter of Taste","Joseph Wesley"
"On the Training of Parents","Ernest Hamlin Abbott"
"The Wonderland of Trinidad","Anonymous"
"Iltakellot","L. Onerva"
"Kulkurin lauluja","Larin-Kyösti"
"A Diary from Dixie","Mary Boykin Miller Chesnut"
"Assassin","Bascom Jones"
"Sappho","Thomas George Tucker"
"L'ultima primavera","Ines Castellani Fantoni Benaglio"
"A Book","Djuna Barnes"
"The Bradys' Race for Life","Francis Worcester Doughty"
"Bellingrath Gardens","Anonymous"
"Merry Tales","Mark Twain"
"Mary Jane Married","George R. Sims"
"Sculpture in Spain","Albert F. Calvert"
"The Non-Electronic Bug","E. Mittleman"
"Le petit-neveu de Grécourt ou Étrennes gaillardes","Anonymous"
"Crofton Chums","Ralph Henry Barbour"
"Thinking and learning to think","Nathan C. Schaeffer"
"Le Sylphe","Claude-Prosper Jolyot de Crébillon"
"Le monde tel qu'il sera","Émile Souvestre"
"The Sportsman's Club in the Saddle","Harry Castlemon"
"Handbuch der Geschichte der Buchdruckerkunst","Carl B. Lorck"
"Harper's Round Table, March 9, 1897","Various"
"Time Payment","Sylvia Jacobs"
"The Fair Rewards","Thomas Beer"
"El Quijote apócrifo","Alonso Fernández de Avellaneda"
"Sketches in Prison Camps","Charles C. Nott"
"De l'Amour","Stendhal and Charles-Augustin Sainte-Beuve"
"The Last Trespasser","Jim Harmon"
"Alice, grand duchess of Hesse","Alice, Grand Duchess consort of Ludwig IV Grand Duke of Hesse-Darmstadt, Helena Augusta Victoria, Princess Christian of Schleswig-Holstein, and Karl Sell"
"Leibniz","Wilhelm Wundt"
"Hans und Suse in der Stadt","Trude Bruns"
"Oraita","Hilja Haahti"
"Elämä ja kuolema","Aarni Kouta"
"The Straits Impregnable","Sydney De Loghe"
"Bewick's Select Fables","Thomas Bewick"
"The Magical Chance","Dallas Lore Sharp"
"Heel","Philip Jose Farmer"
"Underneath the Bough","George Allan England"
"Aikamme uros","Mikhail Iurevich Lermontov"
"Kotkan tie","Ethel May Dell"
"History of the Late Polish Revolution and the Events of the Campaign","Joseph Hordynski"
"On the Margin","Aldous Huxley"
"I viaggi di Gio. da Mandavilla, vol. 2","John Mandeville"
"I viaggi di Gio. da Mandavilla, vol. 1","John Mandeville"
"La Danse de Sophocle: Poemes","Jean Cocteau"
"Thirty Degrees Cattywonkus","James Bell"
"Father and the Boy Visit the University of Idaho","Anonymous"
"The Crystal Sceptre","Philip Verrill Mighels"
"The Coming of Lugh","Ella Young and Maud Gonne"
"Bookplates","Edward Almack"
"Life of J. E. B. Stuart","Mary L. Williamson"
"Beauvoir Jefferson Davis Shrine","Anonymous"
"Westward Movement 1832-1889","Richard B. Morris and James Woodress"
"The Jeffersonians, 1801-1829","Richard B. Morris and James Woodress"
"Rachel Jackson","Nellie Treanor Stokes"
"Lucifer","Various"
"Ajan aalloilta","Eino Leino"
"Histoire d'une Montagne","Élisée Reclus"
"When Day is Done","Arnold Castle"
"The Journal of American Folk-lore, Vol. 6, No. 22 July-September, 1893","Various"
"Mémoires Posthumes de Braz Cubas","Machado de Assis"
"A Great Day for the Irish","A. M. Lightner"
"Helianth, Band 3","Albrecht Schaeffer"
"Memory's Storehouse Unlocked, True Stories","John T. Bristow"
"Pieni italialainen","Johanna Spyri"
"Yesterdays in the Philippines","Joseph Earle Stevens"
"Les oiseaux s'envolent et les fleurs tombent","Élémir Bourges"
"The Woman Movement","Ellen Key"
"A Pride of Islands","C. C. MacApp"
"The Rod and Gun Club","Harry Castlemon"
"Matchmaker","Charles L. Fontenay"
"Geschichten aus den vier Winden","Max Dauthendey"
"Suomalaisia kohtaloita","Kyösti Wilkuna"
"The Birds of Australia, Vol. 4 of 7","John Gould"
"Essays on Educational Reformers","Robert Hebert Quick"
"Between Heathenism and Christianity","Charles William Super Plutarch, and Seneca"
"How to Study Architecture","Charles H. Caffin"
"The Upside-Down Captain","Jim Harmon"
"Du suffrage universel et de la manière de voter","Hippolyte Taine"
"Aline et Valcour","Donatien-Alphonse-Francois de Sade"
"How to Face Life","Stephen Samuel Wise"
"The Convent School","William Dugdale"
"Raffael","Hermann Knackfuß"
"Harper's Round Table, March 2, 1897","Various"
"Studies on Epidemic Influenza","The University of Pittsburgh School of Medicine"
"En ménage","J.-K. Huysmans"
"Frances Mary Buss","Annie E. Ridley"
"The Lathe & Its Uses","Anonymous"
"Valkea morsian","Aarni Kouta"
"Runoja Herkules uroosta","Thure Johan Dahlberg"
"The Elements of Perspective","John Ruskin"
"Christianity Viewed In Relation To The Present State Of Society And Opinion","François Guizot"
"Bohemian (Cech) Bibliography","Thomas Capek and Anna Vostrovský Capek"
"Our Young Aeroplane Scouts In France and Belgium","Horace Porter"
"Adriani","George Sand"
"In Great Waters","Thomas A. Janvier"
"Corinne ou l'Italie","Madame de (Anne-Louise-Germaine) Staël"
"Gravy Train","Daniel F. Galouye"
"War Flying","L. F. Hutcheon"
"Ole Mars an' Ole Miss","Edmund K. Goldsborough"
"Souvenirs d'un musicien","Adolphe Adam"
"The Seven Sisters of Sleep","Mordecai Cubitt Cooke"
"Daddy Jake the Runaway","Joel Chandler Harris"
"Monument","R. W. Major"
"Colin","E. F. Benson"
"Hiljaisina hetkinä","Ilmari Kianto"
"Yksin elämässä","Kyösti Wilkuna"
"Ignatz","Ron Goulart"
"La petite Ville","Remy de Gourmont"
"The Sheriff of Pecos","Henry Bedford-Jones"
"The Second Mate","Henry Bedford-Jones"
"Arizona Argonauts","Henry Bedford-Jones"
"The Story of the Typewriter","Herkimer County Historical Society"
"Bible Pictures and Stories in Large Print","Isabella M. Aldon"
"Adam & Eve & Pinch Me","Alfred Edgar Coppard"
"The War with Russia","John Alfred Langford"
"The Spanish Royal Tapestries","Albert F. Calvert"
"Storia dei musulmani di Sicilia, Vol. 3, Parte 2","Michele Amari"
"Storia dei musulmani di Sicilia, Vol. 3, Parte 1","Michele Amari"
"Old Shag","Bob Farnham"
"History of Greece, Vol. 12 of 12","George Grote"
"Ollin-Mikko, Aapon-Ulla ja Ullan-Eino","Väinö Kataja"
"Sanomalehtimiehen seikkailuja","Joseph Jacquin"
"The House of Quiet","Arthur Christopher Benson"
"Beside the Fire","Various"
"Catalogue of "Standard Recitations"","Anonymous"
"Novelleja","Kyösti Wilkuna"
